iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,131.0,57.0,83.0,177.0,126.0,33.0,149.0,129.0,172.0,127.0,36.0,163.0,140.0,0.1802849189454724,0.630316742081448
0,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.1881447519240216,0.606787330316742
0,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.18937285082691993,0.5850678733031675
0,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20599312264614378,0.5502262443438914
0,112.0,120.0,142.0,118.0,140.0,151.0,35.0,57.0,75.0,169.0,14.0,140.0,68.0,0.22818077615850663,0.5479638009049774
0,152.0,122.0,113.0,113.0,125.0,86.0,49.0,69.0,106.0,70.0,60.0,175.0,91.0,0.23857868020304568,0.5434389140271493
0,154.0,33.0,158.0,159.0,95.0,171.0,136.0,14.0,41.0,92.0,34.0,63.0,139.0,0.24226297691174062,0.5244343891402715
0,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.2523333879155068,0.49411764705882355
0,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2692811527755035,0.47375565610859727
0,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.27337481578516454,0.4479638009049774
0,32.0,146.0,31.0,154.0,117.0,16.0,130.0,126.0,36.0,162.0,21.0,105.0,28.0,0.31447519240216143,0.4407239819004525
0,51.0,116.0,32.0,174.0,66.0,52.0,127.0,88.0,42.0,12.0,32.0,118.0,113.0,0.3388734239397413,0.40407239819004526
0,100.0,132.0,74.0,39.0,137.0,53.0,62.0,44.0,28.0,17.0,146.0,95.0,86.0,0.38210250532176193,0.3995475113122172
0,40.0,68.0,44.0,25.0,52.0,119.0,74.0,112.0,138.0,38.0,73.0,74.0,142.0,0.3848861961683314,0.3932126696832579
0,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3957753397740298,0.36334841628959275
0,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.41542492222040284,0.3217194570135747
0,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4490748321598166,0.31221719457013575
0,16.0,20.0,27.0,58.0,60.0,99.0,26.0,20.0,119.0,109.0,29.0,72.0,93.0,0.49074832159816606,0.27963800904977376
1,176.0,176.0,180.0,176.0,180.0,172.0,180.0,179.0,178.0,178.0,180.0,179.0,147.0,0.008760438840674636,0.9733031674208145
1,176.0,178.0,176.0,176.0,180.0,171.0,179.0,179.0,180.0,172.0,178.0,180.0,149.0,0.009251678401833961,0.9701357466063348
1,176.0,178.0,176.0,176.0,180.0,172.0,180.0,175.0,178.0,172.0,178.0,179.0,145.0,0.01007041100376617,0.9660633484162896
1,176.0,178.0,174.0,176.0,177.0,172.0,180.0,176.0,177.0,171.0,180.0,179.0,147.0,0.010234157524152613,0.965158371040724
