iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,131.0,57.0,83.0,177.0,126.0,33.0,149.0,129.0,172.0,127.0,36.0,163.0,140.0,0.1734066114346649,0.630316742081448
0,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.17537527684357312,0.606787330316742
0,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.18973012878352882,0.5850678733031675
0,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.19358543187597407,0.5502262443438914
0,112.0,120.0,142.0,118.0,140.0,151.0,35.0,57.0,75.0,169.0,14.0,140.0,68.0,0.22073660897383315,0.5479638009049774
0,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.22639652202444427,0.5407239819004525
0,132.0,55.0,153.0,55.0,32.0,117.0,89.0,168.0,58.0,20.0,179.0,176.0,69.0,0.23312279550488066,0.5307692307692308
0,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.242638011647937,0.49411764705882355
0,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2571569190386351,0.47375565610859727
0,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2600278894266262,0.4479638009049774
0,32.0,146.0,31.0,154.0,117.0,16.0,130.0,126.0,36.0,162.0,21.0,105.0,28.0,0.307603970141908,0.4407239819004525
0,51.0,116.0,32.0,174.0,66.0,52.0,127.0,88.0,42.0,12.0,32.0,118.0,113.0,0.33393486998605526,0.40407239819004526
0,40.0,68.0,44.0,25.0,52.0,119.0,74.0,112.0,138.0,38.0,73.0,74.0,142.0,0.37847592486260356,0.3932126696832579
0,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.37946025756705765,0.36334841628959275
0,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4047247969813797,0.3217194570135747
0,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.43589533262242636,0.31221719457013575
0,16.0,20.0,27.0,58.0,60.0,99.0,26.0,20.0,119.0,109.0,29.0,72.0,93.0,0.48109260930194403,0.27963800904977376
1,41.0,140.0,76.0,172.0,158.0,166.0,98.0,165.0,17.0,130.0,178.0,168.0,12.0,0.14149782626527765,0.6294117647058823
1,20.0,142.0,151.0,172.0,158.0,166.0,98.0,165.0,49.0,20.0,178.0,168.0,14.0,0.14190796489213353,0.6203619909502263
1,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.17537527684357312,0.606787330316742
1,21.0,17.0,148.0,177.0,131.0,166.0,164.0,28.0,63.0,11.0,176.0,178.0,25.0,0.1791485522106472,0.5316742081447964
1,28.0,17.0,148.0,177.0,131.0,166.0,140.0,11.0,63.0,20.0,179.0,178.0,25.0,0.18595685341645476,0.5217194570135747
1,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.242638011647937,0.49411764705882355
1,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2571569190386351,0.47375565610859727
1,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2600278894266262,0.4479638009049774
1,11.0,39.0,28.0,179.0,148.0,172.0,51.0,10.0,18.0,52.0,74.0,155.0,25.0,0.2756951849725207,0.3764705882352941
1,18.0,18.0,22.0,163.0,33.0,139.0,22.0,18.0,19.0,25.0,98.0,169.0,26.0,0.35066852596177506,0.2895927601809955
1,35.0,18.0,22.0,163.0,33.0,139.0,22.0,18.0,19.0,12.0,74.0,169.0,24.0,0.35649249446312853,0.27963800904977376
1,19.0,13.0,23.0,39.0,33.0,164.0,22.0,28.0,19.0,13.0,76.0,169.0,26.0,0.4418833565745222,0.232579185520362
1,19.0,13.0,23.0,39.0,35.0,164.0,16.0,11.0,19.0,20.0,78.0,169.0,26.0,0.45238290542203263,0.22714932126696832
2,131.0,49.0,74.0,178.0,174.0,165.0,140.0,167.0,176.0,161.0,176.0,168.0,140.0,0.06791895660733328,0.8004524886877828
2,19.0,123.0,78.0,172.0,171.0,167.0,99.0,164.0,174.0,162.0,178.0,178.0,21.0,0.0992535476991223,0.7131221719457014
2,41.0,140.0,77.0,172.0,154.0,166.0,98.0,164.0,171.0,144.0,178.0,169.0,11.0,0.10811254203920925,0.7036199095022625
2,19.0,102.0,146.0,173.0,152.0,167.0,22.0,168.0,131.0,161.0,127.0,178.0,21.0,0.1259945861701255,0.6502262443438914
2,41.0,140.0,76.0,172.0,158.0,166.0,98.0,165.0,17.0,130.0,178.0,168.0,12.0,0.14149782626527765,0.6294117647058823
2,20.0,142.0,151.0,172.0,158.0,166.0,98.0,165.0,49.0,20.0,178.0,168.0,14.0,0.14190796489213353,0.6203619909502263
2,40.0,19.0,151.0,172.0,154.0,160.0,163.0,160.0,49.0,145.0,74.0,170.0,11.0,0.15363792962021164,0.6054298642533936
2,21.0,17.0,148.0,177.0,131.0,166.0,164.0,28.0,63.0,11.0,176.0,178.0,25.0,0.1791485522106472,0.5316742081447964
2,28.0,17.0,148.0,177.0,131.0,166.0,140.0,11.0,63.0,20.0,179.0,178.0,25.0,0.18595685341645476,0.5217194570135747
2,19.0,18.0,144.0,168.0,33.0,164.0,22.0,180.0,19.0,162.0,58.0,168.0,24.0,0.22984168649003364,0.4746606334841629
2,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2571569190386351,0.47375565610859727
2,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2600278894266262,0.4479638009049774
2,11.0,39.0,28.0,179.0,148.0,172.0,51.0,10.0,18.0,52.0,74.0,155.0,25.0,0.2756951849725207,0.3764705882352941
