iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Hypervolume_indicator
0,763.0,358.0,283.0,565.0,635.0,594.0,554.0,335.0,348.0,725.0,362.0,735.0,589.0,67.0,6846.0,81304.0
0,678.0,115.0,236.0,190.0,442.0,800.0,461.0,224.0,683.0,432.0,682.0,208.0,230.0,68.0,5381.0,81304.0
0,234.0,200.0,783.0,202.0,488.0,740.0,525.0,710.0,359.0,292.0,568.0,549.0,385.0,72.0,6035.0,81304.0
0,249.0,636.0,220.0,693.0,106.0,184.0,198.0,145.0,737.0,403.0,783.0,273.0,594.0,68.0,5221.0,81304.0
0,589.0,437.0,638.0,393.0,267.0,391.0,480.0,315.0,520.0,643.0,299.0,309.0,211.0,71.0,5492.0,81304.0
0,108.0,565.0,731.0,798.0,303.0,745.0,631.0,300.0,519.0,411.0,495.0,197.0,674.0,76.0,6477.0,81304.0
0,435.0,711.0,676.0,731.0,537.0,444.0,534.0,159.0,222.0,622.0,744.0,577.0,774.0,70.0,7166.0,81304.0
0,369.0,721.0,796.0,285.0,520.0,728.0,514.0,764.0,328.0,689.0,795.0,537.0,574.0,65.0,7620.0,81304.0
0,566.0,784.0,746.0,236.0,126.0,774.0,134.0,673.0,491.0,438.0,223.0,749.0,503.0,70.0,6443.0,81304.0
0,593.0,772.0,148.0,417.0,718.0,543.0,617.0,695.0,295.0,747.0,374.0,174.0,559.0,67.0,6652.0,81304.0
0,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,62.0,4970.0,81304.0
0,521.0,600.0,115.0,647.0,351.0,689.0,722.0,379.0,557.0,374.0,768.0,235.0,291.0,71.0,6249.0,81304.0
0,422.0,246.0,380.0,182.0,799.0,639.0,767.0,595.0,144.0,501.0,137.0,694.0,141.0,84.0,5647.0,81304.0
0,215.0,381.0,591.0,467.0,470.0,533.0,425.0,256.0,266.0,342.0,111.0,631.0,455.0,76.0,5143.0,81304.0
0,504.0,794.0,652.0,220.0,185.0,125.0,753.0,446.0,113.0,682.0,751.0,596.0,316.0,65.0,6137.0,81304.0
0,698.0,186.0,188.0,532.0,743.0,453.0,792.0,632.0,128.0,180.0,579.0,567.0,172.0,74.0,5850.0,81304.0
0,714.0,397.0,514.0,407.0,379.0,109.0,420.0,751.0,748.0,523.0,192.0,256.0,440.0,67.0,5850.0,81304.0
0,284.0,758.0,611.0,305.0,512.0,274.0,151.0,188.0,715.0,146.0,165.0,645.0,278.0,60.0,5032.0,81304.0
0,622.0,368.0,485.0,518.0,389.0,569.0,163.0,534.0,566.0,137.0,253.0,116.0,512.0,62.0,5232.0,81304.0
0,152.0,265.0,460.0,749.0,423.0,206.0,341.0,210.0,471.0,329.0,722.0,533.0,658.0,78.0,5519.0,81304.0
0,266.0,289.0,469.0,581.0,613.0,562.0,694.0,232.0,639.0,216.0,461.0,687.0,726.0,72.0,6435.0,81304.0
0,350.0,498.0,338.0,427.0,777.0,683.0,126.0,517.0,423.0,105.0,508.0,433.0,697.0,72.0,5882.0,81304.0
0,383.0,181.0,407.0,498.0,651.0,502.0,743.0,136.0,718.0,618.0,409.0,798.0,644.0,71.0,6688.0,81304.0
0,437.0,512.0,695.0,311.0,602.0,225.0,595.0,550.0,656.0,763.0,341.0,440.0,484.0,71.0,6611.0,81304.0
0,519.0,460.0,159.0,327.0,660.0,428.0,475.0,411.0,125.0,535.0,618.0,336.0,424.0,70.0,5477.0,81304.0
0,279.0,220.0,208.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,65.0,3679.0,81304.0
0,304.0,607.0,415.0,539.0,278.0,403.0,384.0,791.0,234.0,666.0,147.0,379.0,737.0,74.0,5884.0,81304.0
0,786.0,468.0,349.0,358.0,562.0,304.0,278.0,615.0,249.0,207.0,171.0,477.0,306.0,67.0,5130.0,81304.0
0,207.0,546.0,571.0,454.0,754.0,194.0,502.0,525.0,788.0,226.0,626.0,767.0,338.0,68.0,6498.0,81304.0
0,616.0,337.0,264.0,557.0,405.0,623.0,568.0,112.0,772.0,120.0,332.0,158.0,769.0,67.0,5633.0,81304.0
0,478.0,620.0,108.0,341.0,413.0,665.0,106.0,451.0,661.0,779.0,716.0,150.0,224.0,73.0,5712.0,81304.0
