iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,153.0,171.0,124.0,125.0,97.0,138.0,120.0,161.0,87.0,94.0,156.0,166.0,27.0,0.07872223530335139,0.6737556561085973
0,121.0,71.0,86.0,143.0,60.0,171.0,172.0,45.0,99.0,155.0,122.0,138.0,31.0,0.0996782042225885,0.5809954751131222
0,93.0,100.0,101.0,156.0,58.0,161.0,83.0,28.0,81.0,71.0,135.0,122.0,147.0,0.11702378149281846,0.5457013574660633
0,81.0,158.0,51.0,171.0,56.0,130.0,60.0,74.0,64.0,118.0,60.0,150.0,113.0,0.12871831096460246,0.5230769230769231
0,83.0,17.0,109.0,180.0,129.0,134.0,63.0,58.0,112.0,134.0,109.0,15.0,142.0,0.162389137430343,0.5226244343891403
0,98.0,27.0,47.0,163.0,46.0,144.0,100.0,62.0,107.0,39.0,122.0,118.0,30.0,0.16466525390471706,0.4402714932126697
0,57.0,29.0,28.0,35.0,41.0,167.0,100.0,24.0,138.0,125.0,113.0,51.0,76.0,0.26826779687622637,0.38642533936651585
0,72.0,34.0,163.0,107.0,45.0,75.0,40.0,33.0,86.0,79.0,40.0,133.0,69.0,0.27501765952437013,0.38280542986425337
0,11.0,91.0,89.0,90.0,117.0,108.0,124.0,81.0,53.0,22.0,107.0,11.0,35.0,0.2940899458441253,0.36606334841628957
0,66.0,13.0,62.0,105.0,79.0,140.0,73.0,22.0,26.0,40.0,13.0,21.0,127.0,0.35138529157836906,0.29728506787330317
1,153.0,171.0,124.0,125.0,97.0,138.0,120.0,161.0,87.0,94.0,156.0,166.0,27.0,0.07872223530335139,0.6737556561085973
1,17.0,178.0,78.0,166.0,149.0,147.0,135.0,134.0,114.0,15.0,154.0,155.0,26.0,0.0958323522486461,0.6054298642533936
1,121.0,71.0,86.0,143.0,60.0,171.0,172.0,45.0,99.0,155.0,122.0,138.0,31.0,0.0996782042225885,0.5809954751131222
1,93.0,100.0,101.0,156.0,58.0,161.0,83.0,28.0,81.0,71.0,135.0,122.0,147.0,0.11702378149281846,0.5457013574660633
